[0, 168]
[1, 168]
[2, 168]
[3, 168]
[4, 168]
[5, 168]
[6, 168]
[7, 168]
[8, 168]
[9, 168]
[10, 168]
[11, 168]
[12, 168]
[13, 168]
[14, 168]
[15, 168]
[16, 168]
[17, 168]
[18, 168]
[19, 168]
[20, 168]
[21, 168]
[22, 168]
[23, 168]
[24, 168]
[25, 168]
[26, 168]
[27, 168]
[28, 168]
[29, 168]
[30, 168]
[31, 168]
[32, 168]
[33, 168]
[34, 168]
[35, 168]
[36, 168]
[37, 168]
[38, 168]
[39, 168]
[40, 168]
[41, 168]
[42, 168]
[43, 168]
[44, 168]
[45, 168]
[46, 168]
[47, 168]
[48, 168]
[49, 168]
[50, 168]
[51, 168]
[52, 168]
[53, 168]
[54, 168]
[55, 168]
[56, 168]
[57, 168]
[58, 168]
[59, 168]
[60, 168]
[61, 168]
[62, 168]
[63, 168]
[64, 168]
[65, 168]
[66, 168]
[67, 168]
[68, 168]
[69, 168]
[70, 168]
[71, 168]
[72, 168]
[73, 168]
[74, 168]
[75, 168]
[76, 168]
[77, 168]
[78, 168]
[79, 168]
[80, 168]
[81, 168]
[82, 168]
[83, 168]
[84, 168]
[85, 168]
[86, 168]
[87, 168]
[88, 168]
[89, 168]
[90, 168]
[91, 168]
[92, 168]
[93, 168]
[94, 168]
[95, 168]
[96, 168]
[97, 168]
[98, 168]
[99, 168]
[100, 168]
[101, 168]
[102, 168]
[103, 168]
[104, 168]
[105, 168]
[106, 168]
[107, 168]
[108, 168]
[109, 168]
[110, 168]
[111, 168]
[112, 168]
[113, 168]
[114, 168]
[115, 168]
[116, 168]
[117, 168]
[118, 168]
[119, 168]
[120, 168]
[121, 168]
[122, 168]
[123, 168]
[124, 168]
[125, 168]
[126, 168]
[127, 168]
[128, 168]
[129, 168]
[130, 168]
[131, 168]
[132, 168]
[133, 168]
[134, 168]
[135, 168]
[136, 168]
[137, 168]
[138, 168]
[139, 168]
[140, 168]
[141, 168]
[142, 168]
[143, 168]
[144, 168]
[145, 168]
[146, 168]
[147, 168]
[148, 168]
[149, 168]
[150, 168]
[151, 168]
[152, 168]
[153, 168]
[154, 168]
[155, 168]
[156, 168]
[157, 168]
[158, 168]
[159, 168]
[160, 168]
[161, 168]
[162, 168]
[163, 168]
[164, 168]
[165, 168]
[166, 1]
[166, 2]
[166, 3]
[166, 4]
[166, 5]
[166, 6]
[166, 7]
[166, 8]
[166, 9]
[166, 10]
[166, 11]
[166, 12]
[166, 13]
[166, 14]
[166, 15]
[166, 16]
[166, 17]
[166, 18]
[166, 19]
[166, 20]
[166, 21]
[166, 22]
[166, 23]
[166, 24]
[166, 25]
[166, 26]
[166, 27]
[166, 28]
[166, 29]
[166, 30]
[166, 31]
[166, 32]
[166, 33]
[166, 34]
[166, 35]
[166, 36]
[166, 37]
[166, 38]
[166, 39]
[166, 40]
[166, 41]
[166, 42]
[166, 43]
[166, 44]
[166, 45]
[166, 46]
[166, 47]
[166, 48]
[166, 49]
[166, 50]
[166, 51]
[166, 52]
[166, 53]
[166, 54]
[166, 55]
[166, 56]
[166, 57]
[166, 58]
[166, 59]
[166, 60]
[166, 61]
[166, 62]
[166, 63]
[166, 64]
[166, 65]
[166, 66]
[166, 67]
[166, 68]
[166, 69]
[166, 70]
[166, 71]
[166, 72]
[166, 73]
[166, 74]
[166, 75]
[166, 76]
[166, 77]
[166, 78]
[166, 79]
[166, 80]
[166, 81]
[166, 82]
[166, 83]
[166, 84]
[166, 85]
[166, 86]
[166, 87]
[166, 88]
[166, 89]
[166, 90]
[166, 91]
[166, 92]
[166, 93]
[166, 94]
[166, 95]
[166, 96]
[166, 97]
[166, 98]
[166, 99]
[166, 100]
[166, 101]
[166, 102]
[166, 103]
[166, 104]
[166, 105]
[166, 106]
[166, 107]
[166, 108]
[166, 109]
[166, 110]
[166, 111]
[166, 112]
[166, 113]
[166, 114]
[166, 115]
[166, 116]
[166, 117]
[166, 118]
[166, 119]
[166, 120]
[166, 121]
[166, 122]
[166, 123]
[166, 124]
[166, 125]
[166, 126]
[166, 127]
[166, 128]
[166, 129]
[166, 130]
[166, 131]
[166, 132]
[166, 133]
[166, 134]
[166, 135]
[166, 136]
[166, 137]
[166, 138]
[166, 139]
[166, 140]
[166, 141]
[166, 142]
[166, 143]
[166, 144]
[166, 145]
[166, 146]
[166, 147]
[166, 148]
[166, 149]
[166, 150]
[166, 151]
[166, 152]
[166, 153]
[166, 154]
[166, 155]
[166, 156]
[166, 157]
[166, 158]
[166, 159]
[166, 160]
[166, 161]
[166, 162]
[166, 163]
[166, 164]
[166, 165]
[166, 166]
[166, 167]
[166, 168]
